District,Zone,Geographical Region,Development Region,Year BS,Year AD,Number of Voters
Lalitpur,Bagmati,Hill,Central,2056,1999,190029
Lalitpur,Bagmati,Hill,Central,2057,2000,201506
Lalitpur,Bagmati,Hill,Central,2058,2001,205295
Lalitpur,Bagmati,Hill,Central,2059,2002,206773
Lalitpur,Bagmati,Hill,Central,2060,2003,205943
Lalitpur,Bagmati,Hill,Central,2061,2004,209710
Lalitpur,Bagmati,Hill,Central,2062,2005,210518
Lalitpur,Bagmati,Hill,Central,2063,2006,235328
Kavre,Bagmati,Hill,Central,2047,1990,212014
Kavre,Bagmati,Hill,Central,2050,1993,223560
Kavre,Bagmati,Hill,Central,2056,1999,253241
Kavre,Bagmati,Hill,Central,2057,2000,273144
Kavre,Bagmati,Hill,Central,2058,2001,278929
Kavre,Bagmati,Hill,Central,2059,2002,280968
Kavre,Bagmati,Hill,Central,2060,2003,284484
Kavre,Bagmati,Hill,Central,2061,2004,285746
Kavre,Bagmati,Hill,Central,2062,2005,289349
Kavre,Bagmati,Hill,Central,2063,2006,321705
Sindhupalchok,Bagmati,Mountain,Central,2047,1990,171576
Sindhupalchok,Bagmati,Mountain,Central,2050,1993,184817
Sindhupalchok,Bagmati,Mountain,Central,2056,1999,201073
Sindhupalchok,Bagmati,Mountain,Central,2057,2000,216217
Sindhupalchok,Bagmati,Mountain,Central,2058,2001,218982
Sindhupalchok,Bagmati,Mountain,Central,2059,2002,221918
Sindhupalchok,Bagmati,Mountain,Central,2060,2003,226374
Sindhupalchok,Bagmati,Mountain,Central,2061,2004,227040
Sindhupalchok,Bagmati,Mountain,Central,2062,2005,229866
Sindhupalchok,Bagmati,Mountain,Central,2063,2006,260357
Makwanpur,Narayani,Hill,Central,2047,1990,175003
Makwanpur,Narayani,Hill,Central,2050,1993,188059
Makwanpur,Narayani,Hill,Central,2056,1999,213474
Makwanpur,Narayani,Hill,Central,2057,2000,231880
Makwanpur,Narayani,Hill,Central,2058,2001,235367
Makwanpur,Narayani,Hill,Central,2059,2002,236769
Makwanpur,Narayani,Hill,Central,2060,2003,244610
Makwanpur,Narayani,Hill,Central,2061,2004,246469
Makwanpur,Narayani,Hill,Central,2062,2005,248190
Makwanpur,Narayani,Hill,Central,2063,2006,288868
Rautahat,Narayani,Terai,Central,2047,1990,237622
Rautahat,Narayani,Terai,Central,2050,1993,256065
Rautahat,Narayani,Terai,Central,2056,1999,305231
Rautahat,Narayani,Terai,Central,2057,2000,314107
Rautahat,Narayani,Terai,Central,2058,2001,320521
Rautahat,Narayani,Terai,Central,2059,2002,323759
Rautahat,Narayani,Terai,Central,2060,2003,329798
Rautahat,Narayani,Terai,Central,2061,2004,331417
Rautahat,Narayani,Terai,Central,2062,2005,338098
Rautahat,Narayani,Terai,Central,2063,2006,373650
Bara,Narayani,Terai,Central,2047,1990,234967
Bara,Narayani,Terai,Central,2050,1993,260195
Bara,Narayani,Terai,Central,2056,1999,305456
Bara,Narayani,Terai,Central,2057,2000,327284
Bara,Narayani,Terai,Central,2058,2001,337766
Bara,Narayani,Terai,Central,2059,2002,339870
Bara,Narayani,Terai,Central,2060,2003,344522
Bara,Narayani,Terai,Central,2061,2004,345522
Bara,Narayani,Terai,Central,2062,2005,348554
Bara,Narayani,Terai,Central,2063,2006,396003
Parsa,Narayani,Terai,Central,2047,1990,214282
Parsa,Narayani,Terai,Central,2050,1993,225982
Parsa,Narayani,Terai,Central,2056,1999,271244
Parsa,Narayani,Terai,Central,2057,2000,293681
Parsa,Narayani,Terai,Central,2058,2001,306353
Parsa,Narayani,Terai,Central,2059,2002,311607
Parsa,Narayani,Terai,Central,2060,2003,312208
Parsa,Narayani,Terai,Central,2061,2004,309535
Parsa,Narayani,Terai,Central,2062,2005,310296
Parsa,Narayani,Terai,Central,2063,2006,363013
Chitawan,Narayani,Terai,Central,2047,1990,206339
Chitawan,Narayani,Terai,Central,2050,1993,241192
Chitawan,Narayani,Terai,Central,2056,1999,270011
Chitawan,Narayani,Terai,Central,2057,2000,294730
Chitawan,Narayani,Terai,Central,2058,2001,304651
Chitawan,Narayani,Terai,Central,2059,2002,307079
Chitawan,Narayani,Terai,Central,2060,2003,310775
Chitawan,Narayani,Terai,Central,2061,2004,312364
Chitawan,Narayani,Terai,Central,2062,2005,314480
Chitawan,Narayani,Terai,Central,2063,2006,382580
Gorkha,Gandaki,Hill,Western,2047,1990,172507
Gorkha,Gandaki,Hill,Western,2050,1993,186623
Gorkha,Gandaki,Hill,Western,2056,1999,195674
Gorkha,Gandaki,Hill,Western,2057,2000,205861
Gorkha,Gandaki,Hill,Western,2058,2001,208216
Gorkha,Gandaki,Hill,Western,2059,2002,209364
Gorkha,Gandaki,Hill,Western,2060,2003,212741
Gorkha,Gandaki,Hill,Western,2061,2004,213776
Gorkha,Gandaki,Hill,Western,2062,2005,215238
Gorkha,Gandaki,Hill,Western,2063,2006,249945
Manang,Gandaki,Mountain,Western,2047,1990,6358
Manang,Gandaki,Mountain,Western,2050,1993,6763
Manang,Gandaki,Mountain,Western,2056,1999,6379
Manang,Gandaki,Mountain,Western,2057,2000,6540
Manang,Gandaki,Mountain,Western,2058,2001,6732
Manang,Gandaki,Mountain,Western,2059,2002,6812
Manang,Gandaki,Mountain,Western,2060,2003,7070
Manang,Gandaki,Mountain,Western,2061,2004,7051
Manang,Gandaki,Mountain,Western,2062,2005,6978
Manang,Gandaki,Mountain,Western,2063,2006,7407
Lamjung,Gandaki,Hill,Western,2047,1990,108908
Lamjung,Gandaki,Hill,Western,2050,1993,116441
Lamjung,Gandaki,Hill,Western,2056,1999,125217
Lamjung,Gandaki,Hill,Western,2057,2000,133104
Lamjung,Gandaki,Hill,Western,2058,2001,134482
Lamjung,Gandaki,Hill,Western,2059,2002,135869
Lamjung,Gandaki,Hill,Western,2060,2003,136734
Lamjung,Gandaki,Hill,Western,2061,2004,137576
Lamjung,Gandaki,Hill,Western,2062,2005,140470
Lamjung,Gandaki,Hill,Western,2063,2006,153335
Kaski,Gandaki,Hill,Western,2047,1990,195945
Kaski,Gandaki,Hill,Western,2050,1993,223646
Kaski,Gandaki,Hill,Western,2056,1999,224246
Kaski,Gandaki,Hill,Western,2057,2000,246010
Kaski,Gandaki,Hill,Western,2058,2001,244747
Kaski,Gandaki,Hill,Western,2059,2002,246819
Kaski,Gandaki,Hill,Western,2060,2003,256755
Kaski,Gandaki,Hill,Western,2061,2004,262542
Kaski,Gandaki,Hill,Western,2062,2005,269481
Kaski,Gandaki,Hill,Western,2063,2006,315635
Tanahu,Gandaki,Hill,Western,2047,1990,184085
Tanahu,Gandaki,Hill,Western,2050,1993,207683
Tanahu,Gandaki,Hill,Western,2056,1999,207967
Tanahu,Gandaki,Hill,Western,2057,2000,211831
Tanahu,Gandaki,Hill,Western,2058,2001,215127
Tanahu,Gandaki,Hill,Western,2059,2002,216565
Tanahu,Gandaki,Hill,Western,2060,2003,218528
Tanahu,Gandaki,Hill,Western,2061,2004,219332
Tanahu,Gandaki,Hill,Western,2062,2005,221373
Tanahu,Gandaki,Hill,Western,2063,2006,267618
Syangja,Gandaki,Hill,Western,2047,1990,215448
Syangja,Gandaki,Hill,Western,2050,1993,237539
Syangja,Gandaki,Hill,Western,2056,1999,243369
Syangja,Gandaki,Hill,Western,2057,2000,255271
Syangja,Gandaki,Hill,Western,2058,2001,260637
Syangja,Gandaki,Hill,Western,2059,2002,261981
Syangja,Gandaki,Hill,Western,2060,2003,266352
Syangja,Gandaki,Hill,Western,2061,2004,267544
Syangja,Gandaki,Hill,Western,2062,2005,272170
Syangja,Gandaki,Hill,Western,2063,2006,295442
Gulmi,Lumbini,Hill,Western,2047,1990,184204
Gulmi,Lumbini,Hill,Western,2050,1993,198334
Gulmi,Lumbini,Hill,Western,2056,1999,214712
Gulmi,Lumbini,Hill,Western,2057,2000,227891
Gulmi,Lumbini,Hill,Western,2058,2001,229133
Gulmi,Lumbini,Hill,Western,2059,2002,230172
Gulmi,Lumbini,Hill,Western,2060,2003,232349
Gulmi,Lumbini,Hill,Western,2061,2004,232524
Gulmi,Lumbini,Hill,Western,2062,2005,236188
Gulmi,Lumbini,Hill,Western,2063,2006,261669
Palpa,Lumbini,Hill,Western,2047,1990,151267
Palpa,Lumbini,Hill,Western,2050,1993,169101
Palpa,Lumbini,Hill,Western,2056,1999,176869
Palpa,Lumbini,Hill,Western,2057,2000,184078
Palpa,Lumbini,Hill,Western,2058,2001,183863
Palpa,Lumbini,Hill,Western,2059,2002,184983
Palpa,Lumbini,Hill,Western,2060,2003,187727
Palpa,Lumbini,Hill,Western,2061,2004,189391
Palpa,Lumbini,Hill,Western,2062,2005,192798
Palpa,Lumbini,Hill,Western,2063,2006,215281
Arghakhanchi,Lumbini,Hill,Western,2047,1990,115882
Arghakhanchi,Lumbini,Hill,Western,2050,1993,129861
Arghakhanchi,Lumbini,Hill,Western,2056,1999,140836
Arghakhanchi,Lumbini,Hill,Western,2057,2000,151770
Arghakhanchi,Lumbini,Hill,Western,2058,2001,154134
Arghakhanchi,Lumbini,Hill,Western,2059,2002,155485
Arghakhanchi,Lumbini,Hill,Western,2060,2003,156888
Arghakhanchi,Lumbini,Hill,Western,2061,2004,157132
Arghakhanchi,Lumbini,Hill,Western,2062,2005,158584
Arghakhanchi,Lumbini,Hill,Western,2063,2006,180694
Nawalparasi,Lumbini,Terai,Western,2047,1990,247290
Nawalparasi,Lumbini,Terai,Western,2050,1993,284862
Nawalparasi,Lumbini,Terai,Western,2056,1999,306965
Nawalparasi,Lumbini,Terai,Western,2057,2000,330832
Nawalparasi,Lumbini,Terai,Western,2058,2001,336433
Nawalparasi,Lumbini,Terai,Western,2059,2002,339979
Nawalparasi,Lumbini,Terai,Western,2060,2003,345762
Nawalparasi,Lumbini,Terai,Western,2061,2004,349229
Nawalparasi,Lumbini,Terai,Western,2062,2005,357325
Nawalparasi,Lumbini,Terai,Western,2063,2006,428018
Rupandehi,Lumbini,Terai,Western,2047,1990,289400
Rupandehi,Lumbini,Terai,Western,2050,1993,341499
Rupandehi,Lumbini,Terai,Western,2056,1999,364818
Rupandehi,Lumbini,Terai,Western,2057,2000,392494
Rupandehi,Lumbini,Terai,Western,2058,2001,403608
